City Name,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
Pevek,69.7,170.27,28.08,64,98,9.78
Bredasdorp,-34.53,20.04,63.0,58,100,18.34
Rikitea,-23.12,-134.97,75.72,85,94,7.9
Guerrero Negro,27.97,-114.04,61.54,91,100,4.9
Punta Arenas,-53.16,-70.91,35.6,74,20,28.86
Dingle,11.0,122.67,77.4,89,75,9.46
Yatou,3.63,9.81,86.0,74,75,2.24
Georgetown,6.8,-58.16,73.4,100,20,4.7
Codrington,-28.95,153.24,78.8,24,75,11.41
Puerto Ayacucho,5.66,-67.63,72.19,96,100,2.01
Cherskiy,68.75,161.3,30.36,74,100,12.08
Paamiut,61.99,-49.67,35.4,55,100,11.56
Isangel,-19.55,169.27,73.4,94,90,6.93
Ushuaia,-54.81,-68.31,35.6,80,75,26.4
Hithadhoo,-0.6,73.08,82.67,68,19,8.32
Avarua,-21.21,-159.78,71.6,88,2,4.7
Hofn,64.25,-15.21,30.2,74,75,5.82
Kavaratti,10.57,72.64,82.45,73,36,11.54
Cape Town,-33.93,18.42,64.0,55,75,12.75
Puerto Ayora,-0.74,-90.35,68.0,94,23,8.01
Soe,57.91,26.05,32.0,92,90,12.75
Vila Velha,-3.71,-38.6,78.8,78,40,6.93
Naze,5.43,7.07,80.6,88,75,3.53
Provideniya,64.42,-173.23,19.45,83,0,13.96
Aquiraz,-3.9,-38.39,78.8,78,40,6.93
Meulaboh,4.14,96.13,81.73,77,58,10.69
Upernavik,72.79,-56.15,17.55,83,99,4.23
Kutum,14.2,24.66,79.29,15,0,7.85
Lata,30.78,78.62,28.74,93,100,10.07
Bathsheba,13.22,-59.52,82.4,69,40,21.92
Busselton,-33.64,115.35,78.01,22,0,19.01
Altay,47.83,88.13,25.61,97,100,3.49
Sobolevo,54.43,31.9,44.11,87,100,10.45
Khatanga,71.98,102.47,-8.72,84,48,9.44
Sambava,-14.27,50.17,85.35,53,100,6.69
Nome,30.04,-94.42,64.99,100,40,2.3
Vaini,15.34,74.49,86.0,51,40,6.93
Mataura,-46.19,168.86,59.0,74,67,3.0
Opunake,-39.45,173.86,62.01,88,100,10.13
Marsh Harbour,26.54,-77.06,78.6,83,3,14.12
Chuy,-33.69,-53.46,56.59,83,19,4.99
Thompson,55.74,-97.86,3.2,77,40,5.82
Sampit,-2.54,112.95,85.03,60,95,3.58
New Norfolk,-42.78,147.06,48.2,57,40,17.22
Bluff,-23.58,149.07,80.6,23,0,2.48
Bambous Virieux,-20.34,57.76,80.6,69,75,12.75
Hilo,19.71,-155.08,73.4,73,20,4.7
Nuuk,64.17,-51.74,30.2,42,20,20.8
Vardo,39.62,-77.74,48.2,57,90,9.17
Tasiilaq,65.61,-37.64,24.8,73,93,11.41
Lithakia,37.72,20.83,78.01,69,40,16.11
Hasaki,35.73,140.83,66.2,68,75,6.93
Kodiak,39.95,-94.76,28.99,68,90,21.92
Sisimiut,66.94,-53.67,17.76,70,64,8.08
Salinas,36.67,-121.66,55.0,93,90,6.62
Hermanus,-34.42,19.24,63.0,68,100,13.0
Flinders,-34.58,150.85,75.0,28,0,17.22
Kapaa,22.08,-159.32,75.2,78,20,13.87
Bethel,60.79,-161.76,35.6,90,90,10.29
Norman Wells,65.28,-126.83,12.2,78,75,3.36
Nicolas Bravo,24.39,-104.74,55.99,90,67,0.85
Cuiluan,47.72,128.65,15.31,40,50,10.51
Lorengau,-2.02,147.27,84.18,73,71,11.79
Ribeira Grande,38.52,-28.7,62.6,72,75,6.93
Airai,-8.93,125.41,74.53,68,3,5.61
Atuona,-9.8,-139.03,79.84,77,28,14.41
Betsiamites,48.94,-68.65,30.2,73,1,3.36
Mar del Plata,-46.43,-67.52,44.91,42,0,14.14
Antalaha,-14.9,50.28,77.99,80,100,21.05
Rincon,8.46,-82.28,69.01,77,100,1.99
Belaya Gora,68.54,146.19,0.7,97,100,2.28
Clyde River,70.47,-68.59,21.2,100,90,8.05
Kailua,21.39,-157.74,80.6,69,75,13.87
Oistins,13.07,-59.53,82.4,69,40,21.92
Richards Bay,-28.77,32.06,72.46,86,76,12.5
Barrow,-38.31,-60.23,53.67,59,0,8.88
Victoria,5.28,115.24,82.4,74,75,2.24
Saint-Philippe,45.36,-73.48,35.01,95,90,5.82
Port Alfred,-33.59,26.89,70.0,66,67,10.0
Bonnyville,54.27,-110.74,5.0,92,20,5.82
Caconda,-13.73,15.06,67.37,75,100,1.52
Damavand,35.72,52.07,60.8,42,0,4.7
Lagoa,37.14,-8.45,62.6,82,75,17.22
Tilichiki,60.47,166.1,28.17,87,89,5.88
Jamestown,-33.21,138.6,58.15,68,0,15.23
Severo-Kurilsk,50.68,156.12,32.56,94,88,6.69
Chokurdakh,70.62,147.9,11.05,95,100,0.6
Itoman,26.12,127.67,73.4,78,75,14.99
Qasigiannguit,68.82,-51.19,24.8,41,64,5.82
Saint George,39.45,22.34,71.6,68,75,1.48
Saldanha,41.42,-6.55,45.23,72,37,14.25
Butaritari,3.07,172.79,84.36,75,2,10.56
Mathbaria,22.29,89.96,85.53,52,100,7.76
Tiksi,71.64,128.87,-7.52,98,100,4.68
Broome,52.47,1.45,48.0,100,75,8.05
Albany,42.65,-73.75,39.99,79,90,3.36
Port Elizabeth,39.31,-74.98,48.99,70,1,4.7
Jiazi,19.61,110.49,78.8,54,92,11.18
East London,-33.02,27.91,66.2,68,75,23.04
Marzuq,14.4,46.47,84.0,15,7,10.78
Ponta do Sol,-20.63,-46.0,66.9,94,100,2.24
Arraial do Cabo,-22.97,-42.02,71.6,88,75,4.7
Aklavik,68.22,-135.01,14.0,78,90,2.24
Walvis Bay,-22.95,14.51,71.6,53,20,4.7
Hamilton,43.26,-79.87,39.0,95,90,9.17
Lebu,8.96,38.73,71.6,40,40,11.41
Tazovskiy,67.47,78.7,3.49,95,92,4.97
Qaqortoq,60.72,-46.03,44.6,26,75,23.04
Udachnyy,66.42,112.4,-13.01,83,1,2.24
Souillac,45.6,-0.6,50.0,81,60,4.7
